name,representative_food,major_category,weight,energy_kcal,carbohydrate_g,protein_g,calcium_mg,kalium_mg,iron_mg,magnesium_mg,zinc_mg,cellulose_g,aminoacid_mg,leucine_mg,methionine_mg,selenium_ug,omega3_g,vitaminA_ug,vitaminB_mg,folicacid_ug,vitaminB12_mg,vitaminC_mg,vitaminD_ug,vitaminE_mg
감자 된장국_두부,감자 된장국,된장국류,193.4ml,32,4.0,2.4,32.0,161.0,0.48,21.17,0.31,1.4,,,,,0.07,2.0,0.238,16.05,,2.27,0.01,0.11
감자 된장국,감자 된장국,된장국류,320ml,22,3.31,1.4,24.0,105.0,0.31,9.2,0.2,0.9,,,,,0.03,1.0,0.16499999999999998,8.78,,1.9,0.01,0.04
감자 소고기찌개,감자 소고기찌개,찌개 및 전골류,315.2ml,48,3.81,3.2,12.0,120.0,0.47,15.11,0.66,1.0,,,,,0.04,15.0,0.41200000000000003,10.26,,3.48,0.0,0.18
감자 소고기찌개,감자 소고기찌개,찌개 및 전골류,204ml,52,4.05,3.4,11.0,124.0,0.5,16.06,0.72,0.9,,,,,0.05,8.0,0.42800000000000005,6.87,,1.86,0.0,0.18
감자 소고기찌개,감자 소고기찌개,찌개 및 전골류,204ml,52,4.05,3.4,11.0,124.0,0.5,16.06,0.72,0.9,,,,,0.05,8.0,0.42800000000000005,6.87,,1.86,0.0,0.18
감자 호박된장국,감자 호박된장국,된장국류,320ml,25,3.51,2.1,48.0,177.0,0.48,21.9,0.26,1.4,,,,,0.05,6.0,0.273,17.12,,1.79,0.02,0.07
감자구이,감자구이,육류 및 채소구이류,108ml,123,18.18,2.4,11.0,496.0,0.7,30.09,0.55,3.3,,,,,0.3,0.0,0.482,26.48,,12.65,0.0,0.44
감자구이,감자구이,육류 및 채소구이류,110ml,76,10.05,1.23,7.0,247.0,0.37,,,1.6,,,,,,11.0,0.257,13.19,,6.35,0.0,
감자구이,감자구이,육류 및 채소구이류,130ml,81,12.44,1.5,9.0,301.0,0.46,,,2.0,,,,,,12.0,0.319,15.86,,7.64,0.0,
감자구이,감자구이,육류 및 채소구이류,108ml,123,18.18,2.4,11.0,496.0,0.7,30.09,0.55,3.3,,,,,0.3,0.0,0.482,26.48,,12.65,0.0,0.44
감자국,감자국,국 및 탕류,400g,21,3.67,0.9,5.0,122.0,0.12,8.65,0.08,0.7,750.65,47.87,7.19,1.02,,0.0,1.496,11.18,0.28,0.63,0.0,
감자국,감자국,국 및 탕류,700g,32,4.94,1.19,17.0,163.0,0.0,12.88,0.19,0.7,-,57.25,14.39,0.0,,1.0,0.429,9.47,0.21,1.03,,
감자국,감자국,국 및 탕류,240ml,21,4.51,0.9,8.0,155.0,0.25,11.47,0.16,0.9,,,,,0.0,2.0,0.443,9.03,,3.24,0.01,0.02
감자국,감자국,국 및 탕류,138.7ml,22,4.09,1.5,39.0,176.0,0.39,16.19,0.23,0.9,,,,,0.02,1.0,0.15100000000000002,13.7,,2.69,0.02,0.0
감자국_소고기,감자국,국 및 탕류,168.8ml,37,4.04,2.0,7.0,168.0,0.33,12.31,0.49,0.9,,,,,0.0,1.0,0.327,11.03,,2.79,0.0,0.01
감자국,감자국,국 및 탕류,138.7ml,22,4.09,1.5,39.0,176.0,0.39,16.19,0.23,0.9,,,,,0.02,1.0,0.15100000000000002,13.7,,2.69,0.02,0.0
감자국,감자국,국 및 탕류,240ml,21,4.59,0.85,7.0,154.0,0.25,,,0.9,,,,,,3.0,0.454,9.18,,3.25,0.01,
감자국_소고기,감자국,국 및 탕류,320ml,39,4.02,2.1,3.0,131.0,0.32,8.59,0.53,0.7,,,,,0.0,1.0,0.324,6.51,,2.78,0.0,0.01
감자그라탕_치즈만난감자 그라탕,감자그라탕,육류 및 채소구이류,110g,341,,10.91,,,,,,,,,,,,,0.0,,,,,
감자그라탕,감자그라탕,육류 및 채소구이류,101.3ml,140,17.37,3.9,43.0,422.0,0.66,28.26,0.69,2.8,,,,,0.33,57.0,0.677,27.26,,9.7,0.0,0.56
감자그라탕,감자그라탕,육류 및 채소구이류,47.6ml,134,12.84,3.2,43.0,340.0,0.49,22.32,0.61,2.4,,,,,0.42,12.0,0.375,20.9,,8.96,0.0,0.63
감자그라탕,감자그라탕,육류 및 채소구이류,47.6ml,138,13.03,4.1,92.0,343.0,0.49,22.32,0.61,2.4,,,,,0.43,4.0,0.391,20.91,,8.97,0.0,0.62
